subject_num,trial_num,information,stake,decision,reaction_time,outcome,early_late
623_SS,1,slots visible: 3,50 cents,1,2.767450992,loss,NA
623_SS,2,slots visible: 3,50 cents,1,2.983702271,win,NA
623_SS,3,slots visible: 0,50 cents,1,3.865988369,loss,NA
623_SS,4,slots visible: 4,50 cents,1,2.07654276,win,NA
623_SS,5,slots visible: 1,50 cents,0,1.117258197,win,NA
623_SS,6,slots visible: 5,50 cents,1,1.993610171,win,NA
623_SS,7,slots visible: 2,50 cents,0,4.137887462,win,NA
623_SS,8,slots visible: 5,50 cents,0,1.591988169,loss,NA
623_SS,9,slots visible: 5,50 cents,1,0.722408124,win,NA
623_SS,10,slots visible: 5,50 cents,0,1.912790713,win,NA
623_SS,11,slots visible: 4,50 cents,1,1.587112956,loss,NA
623_SS,12,slots visible: 3,50 cents,1,2.157648426,loss,NA
623_SS,13,slots visible: 3,50 cents,1,0.824162702,win,NA
623_SS,14,slots visible: 1,50 cents,0,1.428866015,loss,NA
623_SS,15,slots visible: 4,50 cents,1,2.222758699,loss,NA
623_SS,16,slots visible: 4,50 cents,1,0.45100403,win,NA
623_SS,17,slots visible: 0,50 cents,1,2.337555977,loss,NA
623_SS,18,slots visible: 2,50 cents,1,1.271911409,loss,NA
623_SS,19,slots visible: 1,50 cents,1,1.026131438,win,NA
623_SS,20,slots visible: 0,50 cents,0,2.012784936,loss,NA
623_SS,21,slots visible: 3,50 cents,0,2.514938681,win,NA
623_SS,22,slots visible: 2,50 cents,1,1.733806007,loss,NA
623_SS,23,slots visible: 3,50 cents,1,0.64399035,win,NA
623_SS,24,slots visible: 0,50 cents,1,1.348099634,loss,NA
623_SS,25,slots visible: 2,50 cents,1,0.910724209,loss,NA
623_SS,26,slots visible: 5,50 cents,1,0.433130984,loss,NA
623_SS,27,slots visible: 0,50 cents,1,1.251466889,win,NA
623_SS,28,slots visible: 2,50 cents,0,1.153582571,win,NA
623_SS,29,slots visible: 0,50 cents,0,1.716416816,loss,NA
623_SS,30,slots visible: 5,50 cents,1,2.172485204,loss,NA
623_SS,31,slots visible: 4,50 cents,1,1.586769271,loss,NA
623_SS,32,slots visible: 4,50 cents,1,0.781420055,loss,NA
623_SS,33,slots visible: 4,50 cents,1,1.639698109,win,NA
623_SS,34,slots visible: 3,50 cents,1,1.727651654,win,NA
623_SS,35,slots visible: 1,50 cents,1,2.094586768,win,NA
623_SS,36,slots visible: 2,50 cents,0,2.074696776,loss,NA
623_SS,37,slots visible: 5,50 cents,0,2.501110082,win,NA
623_SS,38,slots visible: 2,50 cents,0,1.969695379,win,NA
623_SS,39,slots visible: 0,50 cents,0,2.1121044,loss,NA
623_SS,40,slots visible: 1,50 cents,1,0.91478068,win,NA
623_SS,41,slots visible: 2,50 cents,0,2.10073115,win,NA
623_SS,42,slots visible: 5,50 cents,1,1.697214486,loss,NA
623_SS,43,slots visible: 0,50 cents,0,3.613977509,loss,NA
623_SS,44,slots visible: 4,50 cents,1,1.81192379,loss,NA
623_SS,45,slots visible: 1,50 cents,1,1.410504128,win,NA
623_SS,46,slots visible: 0,50 cents,0,1.009082413,loss,NA
623_SS,47,slots visible: 0,50 cents,0,1.423680841,win,NA
623_SS,48,slots visible: 0,50 cents,0,2.259598599,loss,NA
623_SS,49,slots visible: 0,50 cents,0,3.040016926,win,NA
623_SS,50,slots visible: 3,50 cents,1,0.784433744,loss,NA
623_SS,51,slots visible: 1,50 cents,1,1.395854441,win,NA
623_SS,52,slots visible: 3,50 cents,1,0.899214599,loss,NA
623_SS,53,slots visible: 3,50 cents,1,1.03962251,loss,NA
623_SS,54,slots visible: 3,50 cents,0,2.047959492,loss,NA
623_SS,55,slots visible: 2,50 cents,1,1.416277261,loss,NA
623_SS,56,slots visible: 5,50 cents,1,0.78090013,win,NA
623_SS,57,slots visible: 3,50 cents,1,1.185087741,loss,NA
623_SS,58,slots visible: 4,50 cents,1,1.179358595,win,NA
623_SS,59,slots visible: 2,50 cents,0,1.599788511,win,NA
623_SS,60,slots visible: 2,50 cents,1,3.299348671,win,NA
623_SS,61,slots visible: 3,50 cents,0,1.770909241,win,NA
623_SS,62,slots visible: 2,50 cents,1,1.297182464,loss,NA
623_SS,63,slots visible: 2,50 cents,1,0.813710831,win,NA
623_SS,64,slots visible: 5,50 cents,1,1.763824126,loss,NA
623_SS,65,slots visible: 4,50 cents,1,1.594754651,win,NA
623_SS,66,slots visible: 1,50 cents,0,2.442977889,loss,NA
623_SS,67,slots visible: 3,50 cents,1,2.227366473,loss,NA
623_SS,68,slots visible: 5,50 cents,1,1.341517143,loss,NA
623_SS,69,slots visible: 5,50 cents,1,0.481981357,win,NA
623_SS,70,slots visible: 1,50 cents,1,2.114341867,win,NA
623_SS,71,slots visible: 1,50 cents,0,2.356670333,win,NA
623_SS,72,slots visible: 3,50 cents,1,2.231460186,loss,NA
623_SS,73,slots visible: 0,50 cents,1,0.961856915,loss,NA
623_SS,74,slots visible: 5,50 cents,1,1.159740735,win,NA
623_SS,75,slots visible: 2,50 cents,1,1.306282178,win,NA
623_SS,76,slots visible: 2,50 cents,0,1.286699508,loss,NA
623_SS,77,slots visible: 5,50 cents,1,2.983139825,win,NA
623_SS,78,slots visible: 5,50 cents,0,2.435417129,loss,NA
623_SS,79,slots visible: 1,50 cents,0,1.446166938,win,NA
623_SS,80,slots visible: 5,50 cents,1,2.220442936,win,NA
623_SS,81,slots visible: 3,50 cents,0,0.992987903,loss,NA
623_SS,82,slots visible: 0,50 cents,1,1.667056782,win,NA
623_SS,83,slots visible: 3,50 cents,0,1.063541115,loss,NA
623_SS,84,slots visible: 4,50 cents,1,0.851911685,loss,NA
623_SS,85,slots visible: 2,50 cents,1,1.084186508,win,NA
623_SS,86,slots visible: 1,50 cents,0,1.418457837,loss,NA
623_SS,87,slots visible: 1,50 cents,0,2.287320017,win,NA
623_SS,88,slots visible: 3,50 cents,0,1.629693438,win,NA
623_SS,89,slots visible: 4,50 cents,1,0.768093201,win,NA
623_SS,90,slots visible: 3,50 cents,0,1.13442628,win,NA
623_SS,91,slots visible: 5,50 cents,0,1.482507734,loss,NA
623_SS,92,slots visible: 3,50 cents,1,1.37882565,loss,NA
623_SS,93,slots visible: 1,50 cents,1,1.081101267,win,NA
623_SS,94,slots visible: 0,50 cents,0,1.34560851,win,NA
623_SS,95,slots visible: 5,50 cents,1,1.38224783,win,NA
623_SS,96,slots visible: 5,50 cents,0,2.578534046,win,NA
623_SS,97,slots visible: 0,50 cents,1,1.785060703,win,NA
623_SS,98,slots visible: 1,50 cents,0,2.667256775,loss,NA
623_SS,99,slots visible: 4,50 cents,1,1.149633428,win,NA
623_SS,100,slots visible: 5,50 cents,0,1.568305335,loss,NA
623_SS,101,slots visible: 1,50 cents,1,2.206402908,loss,NA
623_SS,102,slots visible: 0,50 cents,1,0.647048318,loss,NA
623_SS,103,slots visible: 4,50 cents,1,0.87724784,win,NA
623_SS,104,slots visible: 3,50 cents,0,1.255560016,win,NA
623_SS,105,slots visible: 0,50 cents,1,1.035901513,loss,NA
623_SS,106,slots visible: 5,50 cents,1,0.684375593,loss,NA
623_SS,107,slots visible: 4,50 cents,1,0.522663952,win,NA
623_SS,108,slots visible: 5,50 cents,1,0.706929431,win,NA
623_SS,109,slots visible: 2,50 cents,1,1.421486188,win,NA
623_SS,110,slots visible: 1,50 cents,0,2.209752949,loss,NA
623_SS,111,slots visible: 5,50 cents,1,0.730143951,win,NA
623_SS,112,slots visible: 0,50 cents,1,1.088687833,win,NA
623_SS,113,slots visible: 4,50 cents,1,0.926889684,loss,NA
623_SS,114,slots visible: 0,50 cents,1,0.412925166,win,NA
623_SS,115,slots visible: 0,50 cents,0,1.875520328,win,NA
623_SS,116,slots visible: 1,50 cents,1,0.917984685,loss,NA
623_SS,117,slots visible: 4,50 cents,1,1.080373724,loss,NA
623_SS,118,slots visible: 4,50 cents,1,0.682478878,win,NA
623_SS,119,slots visible: 2,50 cents,1,0.809088395,loss,NA
623_SS,120,slots visible: 4,50 cents,1,0.983112553,win,NA
623_SS,121,slots visible: 1,50 cents,0,1.593840017,win,NA
623_SS,122,slots visible: 2,50 cents,1,0.868748107,win,NA
623_SS,123,slots visible: 5,50 cents,1,1.102709387,loss,NA
623_SS,124,slots visible: 5,50 cents,1,0.601150345,loss,NA
623_SS,125,slots visible: 4,50 cents,1,0.631374617,loss,NA
623_SS,126,slots visible: 0,50 cents,1,0.46595576,loss,NA
623_SS,127,slots visible: 0,50 cents,1,0.486352481,win,NA
623_SS,128,slots visible: 1,50 cents,0,2.396451196,win,NA
623_SS,129,slots visible: 2,50 cents,1,0.909131297,win,NA
623_SS,130,slots visible: 3,50 cents,0,0.975349161,win,NA
623_SS,131,slots visible: 5,50 cents,1,0.923883034,loss,NA
623_SS,132,slots visible: 1,50 cents,0,2.804053656,loss,NA
623_SS,133,slots visible: 2,50 cents,1,1.012565295,loss,NA
623_SS,134,slots visible: 2,50 cents,1,0.898914609,win,NA
623_SS,135,slots visible: 3,50 cents,0,1.289288577,win,NA
623_SS,136,slots visible: 3,50 cents,0,3.289866564,win,NA
623_SS,137,slots visible: 4,50 cents,1,0.922040569,loss,NA
623_SS,138,slots visible: 3,50 cents,1,1.016329106,loss,NA
623_SS,139,slots visible: 2,50 cents,1,0.716865189,loss,NA
623_SS,140,slots visible: 0,50 cents,1,0.662886531,loss,NA
623_SS,141,slots visible: 3,50 cents,1,0.745442005,loss,NA
623_SS,142,slots visible: 5,50 cents,1,1.029905806,win,NA
623_SS,143,slots visible: 4,50 cents,1,0.720201741,loss,NA
623_SS,144,slots visible: 4,50 cents,1,0.592335666,loss,NA
623_SS,145,slots visible: 3,50 cents,1,0.89896798,win,NA
623_SS,146,slots visible: 2,50 cents,0,0.943286824,win,NA
623_SS,147,slots visible: 1,50 cents,1,1.027687108,loss,NA
623_SS,148,slots visible: 1,50 cents,1,1.59749914,loss,NA
623_SS,149,slots visible: 1,50 cents,1,1.03856096,win,NA
623_SS,150,slots visible: 2,50 cents,0,1.246613669,win,NA
623_SS,151,slots visible: 0,50 cents,0,1.687185475,win,NA
623_SS,152,slots visible: 1,50 cents,1,1.645563908,loss,NA
623_SS,153,slots visible: 0,50 cents,0,1.787974395,win,NA
623_SS,154,slots visible: 1,50 cents,0,2.622450263,loss,NA
623_SS,155,slots visible: 1,50 cents,1,0.882830949,loss,NA
623_SS,156,slots visible: 1,50 cents,1,1.059005187,win,NA
623_SS,157,slots visible: 2,50 cents,0,1.32759324,loss,NA
623_SS,158,slots visible: 1,50 cents,1,3.358119848,loss,NA
623_SS,159,slots visible: 3,50 cents,1,0.846199841,loss,NA
623_SS,160,slots visible: 5,50 cents,1,0.694613688,win,NA
623_SS,161,slots visible: 5,50 cents,1,1.621210419,loss,NA
623_SS,162,slots visible: 4,50 cents,1,0.74341245,loss,NA
623_SS,163,slots visible: 0,50 cents,1,0.713893142,loss,NA
623_SS,164,slots visible: 2,50 cents,1,1.476114679,loss,NA
623_SS,165,slots visible: 4,50 cents,1,0.828478109,win,NA
623_SS,166,slots visible: 5,50 cents,1,2.734715362,loss,NA
623_SS,167,slots visible: 2,50 cents,0,1.541536966,loss,NA
623_SS,168,slots visible: 0,50 cents,1,1.889639827,win,NA
623_SS,169,slots visible: 4,50 cents,0,1.962288867,loss,NA
623_SS,170,slots visible: 0,50 cents,1,1.522414106,win,NA
623_SS,171,slots visible: 3,50 cents,0,0.984800477,win,NA
623_SS,172,slots visible: 4,50 cents,0,2.491130044,win,NA
623_SS,173,slots visible: 4,50 cents,1,2.321679349,loss,NA
623_SS,174,slots visible: 2,50 cents,0,1.138066635,loss,NA
623_SS,175,slots visible: 2,50 cents,0,2.26461809,loss,NA
623_SS,176,slots visible: 0,50 cents,1,1.019244851,win,NA
623_SS,177,slots visible: 3,50 cents,1,1.465288919,win,NA
623_SS,178,slots visible: 4,50 cents,0,0.885624997,win,NA
623_SS,179,slots visible: 4,50 cents,0,2.571921937,win,NA
623_SS,180,slots visible: 1,50 cents,1,0.776343675,loss,NA
624_TN,1,slots visible: 2,50 cents,0,2.447831712,win,NA
624_TN,2,slots visible: 2,50 cents,1,1.389173399,win,NA
624_TN,3,slots visible: 5,50 cents,1,0.701835341,loss,NA
624_TN,4,slots visible: 1,50 cents,1,0.254116527,win,NA
624_TN,5,slots visible: 0,50 cents,1,1.898423415,win,NA
624_TN,6,slots visible: 4,50 cents,1,0.953114755,loss,NA
624_TN,7,slots visible: 4,50 cents,1,0.649074119,loss,NA
624_TN,8,slots visible: 0,50 cents,1,0.911472085,loss,NA
624_TN,9,slots visible: 5,50 cents,1,0.74372756,win,NA
624_TN,10,slots visible: 4,50 cents,1,0.810394011,win,NA
624_TN,11,slots visible: 2,50 cents,1,2.592665849,loss,NA
624_TN,12,slots visible: 2,50 cents,1,1.843112456,win,NA
624_TN,13,slots visible: 2,50 cents,1,1.075753719,loss,NA
624_TN,14,slots visible: 4,50 cents,1,1.068031199,loss,NA
624_TN,15,slots visible: 4,50 cents,1,0.366324884,win,NA
624_TN,16,slots visible: 4,50 cents,1,0.268580968,loss,NA
