exp_version,subject_num,trial_num,information,decision,mod2_linear,mod3_entropy,mod4_res_uncertainty
EXP1,623_SS,88,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,89,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,90,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,91,slots visible: 5,0,1,1,1
EXP1,623_SS,92,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,93,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,94,slots visible: 0,0,0,0,0
EXP1,623_SS,95,slots visible: 5,1,1,1,1
EXP1,623_SS,96,slots visible: 5,0,1,1,1
EXP1,623_SS,97,slots visible: 0,1,0,0,0
EXP1,623_SS,98,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,99,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,100,slots visible: 5,0,1,1,1
EXP1,623_SS,101,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,102,slots visible: 0,1,0,0,0
EXP1,623_SS,103,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,104,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,105,slots visible: 0,1,0,0,0
EXP1,623_SS,106,slots visible: 5,1,1,1,1
EXP1,623_SS,107,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,108,slots visible: 5,1,1,1,1
EXP1,623_SS,109,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,110,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,111,slots visible: 5,1,1,1,1
EXP1,623_SS,112,slots visible: 0,1,0,0,0
EXP1,623_SS,113,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,114,slots visible: 0,1,0,0,0
EXP1,623_SS,115,slots visible: 0,0,0,0,0
EXP1,623_SS,116,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,117,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,118,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,119,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,120,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,121,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,122,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,123,slots visible: 5,1,1,1,1
EXP1,623_SS,124,slots visible: 5,1,1,1,1
EXP1,623_SS,125,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,126,slots visible: 0,1,0,0,0
EXP1,623_SS,127,slots visible: 0,1,0,0,0
EXP1,623_SS,128,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,129,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,130,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,131,slots visible: 5,1,1,1,1
